Campo 4: nivel_orig, Campo 9: nivel_dest
Campo 4: 5, Campo 9: 4b
Campo 4: 5, Campo 9: 4b
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 4b, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 4b, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 4a
Campo 4: 4b, Campo 9: 3a
Campo 4: 4b, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 4b, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 4b
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 3a
Campo 4: 4a, Campo 9: 3a
Campo 4: 4b, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 4a, Campo 9: 3a
Campo 4: 4b, Campo 9: 3a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 4a
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 4b, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 3b
Campo 4: 5, Campo 9: 2c
Campo 4: 4b, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
Campo 4: 5, Campo 9: 3a
Campo 4: 5, Campo 9: 2c
Campo 4: 4a, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
Campo 4: 3b, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
Campo 4: 5, Campo 9: 2c
